classifier,recall_mean,recall_std,accuracy_mean,accuracy_std,auc_mean,auc_std,train_accuracy
LogisticRegression,0.8923976608187134,0.06757865992947235,0.6411411411411412,0.03319642908212725,0.729987004548408,0.055475739586069106,0.7065217391304348
SVM,0.9783625730994153,0.026516453915215538,0.6795795795795796,0.029263490006197785,0.739571150097466,0.04988368461010083,0.7119565217391305
RandomForest,0.8163742690058481,0.0999196010715324,0.5975975975975976,0.06839994463667476,0.6402858999350227,0.08172686231143285,0.7065217391304348
KNN,0.9789473684210526,0.025784102555612427,0.5490990990990992,0.05128809127023526,0.5967186484730344,0.04463169083737011,0.7119565217391305
DecisionTree,0.8391812865497077,0.04589805115871012,0.5869369369369369,0.020124601715034846,0.6094866796621183,0.025719013231869505,0.6521739130434783
