classifier,recall_mean,recall_std,accuracy_mean,accuracy_std,auc_mean,auc_std,train_accuracy
LDA,0.6023391812865497,0.08407640391263457,0.6036036036036035,0.03736295739338327,0.6490903183885639,0.049333573920792025,0.9510869565217391
GaussianNB,0.4011695906432749,0.13226462019816296,0.6036036036036035,0.03736295739338327,0.6671702404158545,0.05963261962724288,0.7010869565217391
LogisticRegression,0.6456140350877193,0.0687576068149664,0.6198198198198198,0.043168102885444835,0.66591942820013,0.042553109653492974,0.967391304347826
SGDClassifier,0.6345029239766082,0.12135031341978672,0.5873873873873874,0.06481479549046826,0.6242690058479532,0.050526451158579795,0.9836956521739131
KNeighbors,0.7,0.08232123674745158,0.6249249249249249,0.04370788083762224,0.6256985055230668,0.0966781246879507,0.7336956521739131
DecisionTree,0.5391812865497077,0.17155147932266734,0.5108108108108108,0.08215504947876032,0.512280701754386,0.07987113865077351,1.0
RandomForest,0.6029239766081872,0.13432991670130975,0.6252252252252252,0.06804038770630344,0.6739278752436648,0.09494828360507201,1.0
