classifier,recall_mean,recall_std,accuracy_mean,accuracy_std,auc_mean,auc_std,train_accuracy
LDA,0.8497076023391813,0.06947998474984395,0.537987987987988,0.03856141177360431,0.5192007797270956,0.05045175502379987,0.7119565217391305
GaussianNB,0.9362573099415205,0.07728153701371597,0.537987987987988,0.030043540504370497,0.49304743339831053,0.04581765271411029,0.5706521739130435
LogisticRegression,0.902923976608187,0.04010860397539707,0.548948948948949,0.03590567009642071,0.5382716049382716,0.061125833716291475,0.592391304347826
SGDClassifier,0.7058479532163743,0.25593465531749143,0.4998498498498499,0.04196797422332844,0.46913580246913583,0.05923176935538913,0.4673913043478261
KNeighbors,0.6333333333333333,0.348164955969289,0.5106606606606607,0.06076983010944502,0.5043372319688109,0.05171398885208588,0.592391304347826
DecisionTree,0.7853801169590644,0.030811555256887724,0.5596096096096096,0.023355951177598512,0.5767218973359325,0.01081407819341544,0.7119565217391305
RandomForest,0.8175438596491228,0.052455846974477395,0.5653153153153153,0.036870958431857885,0.5549057829759583,0.037484191269960346,0.7119565217391305
