classifier,accuracy,auc,f1,precision,recall,misclassified,total
LDA,0.6829268292682927,0.7490909090909091,0.6722689075630253,0.7079646017699115,0.64,78,246
GaussianNB,0.5934959349593496,0.6453223140495867,0.45054945054945056,0.7192982456140351,0.328,100,246
LogisticRegression,0.8008130081300813,0.8694214876033058,0.8063241106719368,0.796875,0.816,49,246
SGDClassifier,0.7886178861788617,0.8844297520661157,0.7952755905511811,0.7829457364341085,0.808,52,246
KNeighbors,0.6422764227642277,0.6492231404958678,0.6507936507936508,0.6456692913385826,0.656,88,246
DecisionTree,0.5447154471544715,0.5451239669421487,0.5371900826446281,0.5555555555555556,0.52,112,246
RandomForest,0.6463414634146342,0.6779173553719008,0.6561264822134387,0.6484375,0.664,87,246
