classifier,split_method,accuracy,auc,f1,precision,recall,selected_features_mean,selected_features_std
LDA,kfold10,0.5446666666666667,0.5672008547008547,0.5380145165512482,0.5573912198912199,0.5282051282051282,106.7,91.88367646105591
GaussianNB,kfold10,0.5126666666666667,0.5771901709401709,0.32418509509066784,0.533430735930736,0.2461538461538461,106.7,91.88367646105591
LogisticRegression,kfold10,0.5278333333333334,0.5615384615384615,0.53117232043319,0.5337283549783549,0.5365384615384616,106.7,91.88367646105591
SGDClassifier,kfold10,0.536,0.5556623931623932,0.577933931554425,0.5565743467059256,0.6487179487179487,106.7,91.88367646105591
KNeighbors,kfold10,0.5565,0.5323717948717949,0.5733521711782582,0.5790051615051615,0.5756410256410256,106.7,91.88367646105591
DecisionTree,kfold10,0.5243333333333334,0.525320512820513,0.5348902614449599,0.5316394716394717,0.5608974358974359,106.7,91.88367646105591
RandomForest,kfold10,0.5938333333333332,0.6092681623931624,0.5913033633033632,0.620267094017094,0.5762820512820513,106.7,91.88367646105591
