classifier,accuracy,auc,f1,precision,recall,misclassified,total
LDA,0.6991869918699187,0.7475041322314049,0.6942148760330579,0.717948717948718,0.672,74,246
GaussianNB,0.5487804878048781,0.5481322314049587,0.4307692307692308,0.6,0.336,111,246
LogisticRegression,0.6707317073170732,0.7141157024793388,0.6720647773279352,0.680327868852459,0.664,81,246
SGDClassifier,0.6504065040650406,0.6863471074380166,0.6386554621848739,0.672566371681416,0.608,86,246
KNeighbors,0.6097560975609756,0.6433388429752066,0.6,0.6260869565217392,0.576,96,246
DecisionTree,0.516260162601626,0.5150082644628099,0.5543071161048689,0.5211267605633803,0.592,119,246
RandomForest,0.6138211382113821,0.6416528925619834,0.6090534979423868,0.6271186440677966,0.592,95,246
