classifier,cv_accuracy_mean,cv_accuracy_std,cv_f1_mean,cv_f1_std,cv_auc_mean,cv_auc_std,cv_precision_mean,cv_precision_std,cv_recall_mean,cv_recall_std,train_accuracy,train_auc
LDA,0.5608163265306123,0.05049360683817834,0.5457532708969097,0.07002116955390926,0.5796800000000001,0.06393476397426083,0.5728265107212476,0.043827946090253554,0.528,0.10244998779892558,0.9227642276422764,0.9794380165289257
GaussianNB,0.5648979591836735,0.062201724739751,0.516311456204581,0.06422665461994272,0.5760133333333334,0.05541857530547761,0.6134952766531714,0.10312139948240778,0.46399999999999997,0.1061319932913728,0.6869918699186992,0.7564297520661157
LogisticRegression,0.5851428571428572,0.04745209996323081,0.5784821665567007,0.06611187522026708,0.5968,0.07584680466425583,0.5939947089947091,0.03960076229783439,0.5680000000000001,0.09600000000000003,0.9308943089430894,0.9831404958677686
SGDClassifier,0.581469387755102,0.050947932196364745,0.5903930243066562,0.04229732005402438,0.6231733333333334,0.05989409319791062,0.591025012025012,0.05916753430049449,0.592,0.039191835884530846,0.991869918699187,0.9991404958677685
KNeighbors,0.5120816326530612,0.041913101034370716,0.5316397085659308,0.05787119796539439,0.5565933333333333,0.04704158160606422,0.518195461945462,0.03703186146677528,0.552,0.0926066952223218,0.7235772357723578,0.80099173553719
DecisionTree,0.5201632653061224,0.03506747229975918,0.5392799238272384,0.05672279178863671,0.5191666666666667,0.034828947092261565,0.5246078222852416,0.031495300954236596,0.56,0.09121403400793104,1.0,1.0
RandomForest,0.6176326530612245,0.05527103337519888,0.6127658983187444,0.07980676093128876,0.6380466666666667,0.07964417981106828,0.6265981783223162,0.05446975123907185,0.608,0.11702991070662233,1.0,1.0
