classifier,accuracy,auc,f1,precision,recall,misclassified,total
LDA,0.6097560975609756,0.647801652892562,0.6307692307692307,0.6074074074074074,0.656,96,246
QDA,0.6138211382113821,0.6597685950413225,0.5991561181434599,0.6339285714285714,0.568,95,246
GaussianNB,0.6097560975609756,0.6597024793388429,0.5966386554621849,0.6283185840707964,0.568,96,246
LogisticRegression,0.6097560975609756,0.6477355371900827,0.6307692307692307,0.6074074074074074,0.656,96,246
SGDClassifier,0.3780487804878049,0.35365289256198346,0.31390134529147984,0.35714285714285715,0.28,153,246
KNeighbors,0.6951219512195121,0.748099173553719,0.6987951807228916,0.7016129032258065,0.696,75,246
DecisionTree,1.0,1.0,1.0,1.0,1.0,0,246
