classifier,accuracy,auc,f1
LDA,0.5813008130081301,0.5829421487603306,0.5795918367346938
GaussianNB,0.532520325203252,0.5057520661157024,0.46511627906976744
LogisticRegression,0.5813008130081301,0.571504132231405,0.596078431372549
SGDClassifier,0.5650406504065041,0.5656528925619835,0.5523012552301255
KNeighbors,0.532520325203252,0.5774214876033058,0.5525291828793775
DecisionTree,0.556910569105691,0.5565950413223141,0.5691699604743083
RandomForest,0.5934959349593496,0.615404958677686,0.6153846153846154
