classifier,cv_accuracy_mean,cv_accuracy_std,cv_f1_mean,cv_f1_std,cv_auc_mean,cv_auc_std,cv_precision_mean,cv_precision_std,sensitivity_mean,sensitivity_std,train_accuracy,train_auc
LDA,0.6036036036036035,0.03736295739338327,0.6037079860609272,0.04148126149980712,0.6490903183885639,0.049333573920792025,0.6147012383900929,0.04654753294721323,0.6023391812865497,0.08407640391263457,0.9510869565217391,0.9929103154909606
GaussianNB,0.6036036036036035,0.03736295739338327,0.4938639738639739,0.08792590456448689,0.6671702404158545,0.05963261962724288,0.7134085213032582,0.09193896637364735,0.4011695906432749,0.13226462019816296,0.7010869565217391,0.8196856906534326
LogisticRegression,0.6198198198198198,0.043168102885444835,0.6315479115479115,0.025273807944267066,0.66591942820013,0.042553109653492974,0.6306147186147186,0.06608935619441766,0.6456140350877193,0.0687576068149664,0.967391304347826,0.9938556067588327
SGDClassifier,0.5873873873873874,0.06481479549046826,0.6039837398373983,0.07853737412292452,0.6242690058479532,0.050526451158579795,0.5870807453416149,0.06262501567395555,0.6345029239766082,0.12135031341978672,0.9836956521739131,0.9987002245066762
KNeighbors,0.6249249249249249,0.04370788083762224,0.6518970189701897,0.04679362288863617,0.6256985055230668,0.0966781246879507,0.6149096002037179,0.04236511723888192,0.7,0.08232123674745158,0.7336956521739131,0.8069242585371618
DecisionTree,0.5108108108108108,0.08215504947876032,0.5142934417814979,0.13439991014788816,0.512280701754386,0.07987113865077351,0.5022656641604011,0.09854657192298026,0.5391812865497077,0.17155147932266734,1.0,1.0
RandomForest,0.6252252252252252,0.06804038770630344,0.6127279911490437,0.08801884383989877,0.6739278752436648,0.09494828360507201,0.6412219050299546,0.07593565106210083,0.6029239766081872,0.13432991670130975,1.0,1.0
