classifier,tune_auc,auc_mean,auc_std,acc_mean,acc_std,recall_mean,recall_std,f1_mean,f1_std,spec_mean,spec_std,best_params
LogisticRegression,0.7250162443144899,0.7250162443144899,0.05055625277956647,0.6465465465465466,0.03990266724774315,0.8923976608187134,0.07533198868250128,0.7173059485336477,0.03930636427865391,0.3953216374269005,0.01286549707602338,"{'C': 0.1, 'class_weight': 'balanced', 'penalty': 'l2', 'solver': 'liblinear'}"
SVM,0.739571150097466,0.739571150097466,0.04988368461010083,0.684984984984985,0.03051263854866194,0.9783625730994153,0.026516453915215538,0.7583454473371216,0.02432384270619266,0.38479532163742686,0.0360776533688589,"{'C': 0.1, 'class_weight': None, 'kernel': 'linear'}"
KNN,0.5967186484730344,0.5967186484730344,0.04463169083737011,0.5490990990990992,0.05128809127023526,0.9789473684210526,0.025784102555612427,0.6875673494097467,0.027265144049778298,0.11111111111111109,0.09296222517045283,"{'n_neighbors': 11, 'p': 1, 'weights': 'distance'}"
DecisionTree,0.6559616634178037,0.6559616634178037,0.12162998570092749,0.613963963963964,0.05618184442403195,0.9239766081871345,0.05624381304582263,0.7074829931972788,0.04215492077504673,0.2970760233918128,0.07644060058908056,"{'ccp_alpha': 0.01, 'class_weight': None, 'criterion': 'gini', 'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 10, 'splitter': 'random'}"
RandomForest,0.6541260558804417,0.6541260558804417,0.0740041762938959,0.5921921921921921,0.0694830263734754,0.8058479532163743,0.10484974046533073,0.6642948114687245,0.06475811517616802,0.3742690058479532,0.04571139706634574,"{'bootstrap': True, 'class_weight': None, 'max_depth': None, 'max_features': 'log2', 'min_samples_leaf': 2, 'min_samples_split': 20, 'n_estimators': 200}"
