classifier,tune_auc,auc_mean,auc_std,acc_mean,acc_std,recall_mean,recall_std,f1_mean,f1_std,spec_mean,spec_std,best_params
LogisticRegression,0.8821637426900585,0.8821637426900585,0.045576532791575905,0.8097597597597599,0.05132324538606656,0.7520467836257311,0.08063816462399387,0.7979661479661481,0.058464562115409985,0.8695906432748537,0.0697746841556709,"{'C': 0.1, 'class_weight': None, 'penalty': 'l2', 'solver': 'liblinear'}"
SVM,0.9450292397660818,0.9450292397660818,0.03341019147856304,0.9133633633633634,0.04630763056885068,0.9029239766081872,0.06285937682706562,0.9125139425139425,0.04846622279019434,0.9239766081871345,0.0539471703192927,"{'C': 1, 'class_weight': None, 'kernel': 'linear'}"
KNN,0.7468486029889538,0.7468486029889538,0.09835470838203626,0.6732732732732731,0.07806421683382089,0.7192982456140351,0.11040093138633175,0.6878953481264135,0.07491429420078269,0.6269005847953217,0.12651868046099543,"{'n_neighbors': 7, 'p': 1, 'weights': 'distance'}"
DecisionTree,0.6900584795321638,0.6900584795321638,0.09207973283965458,0.6894894894894895,0.09161078910709683,0.7181286549707602,0.09988879285518676,0.6989653621232568,0.0950564899295566,0.660233918128655,0.08398279799305843,"{'ccp_alpha': 0.0005, 'class_weight': None, 'criterion': 'gini', 'max_depth': 15, 'min_samples_leaf': 1, 'min_samples_split': 3, 'splitter': 'random'}"
RandomForest,0.7462638076673164,0.7462638076673164,0.11102334765235528,0.6626126126126126,0.06565460184144882,0.6444444444444445,0.07444607523835896,0.6582386135327312,0.06526910630005572,0.6824561403508772,0.0965107192789532,"{'bootstrap': True, 'class_weight': None, 'max_depth': 10, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}"
