feature,mi_score
PREDICT_original_tf_GLCMMS_dissimilarityd3.0A0.0std,0.13404243650890324
PREDICT_original_tf_Gabor_kurtosis_F0.05_A2.36,0.12898077756465542
PREDICT_original_tf_GLCMMS_ASMd1.0A0.79mean,0.1140695931225364
PREDICT_original_phasef_phasesym_mean_WL3_N5,0.11202061331220792
PREDICT_original_hf_peak,0.1108618127848009
PREDICT_original_hf_energy,0.10793802366859895
PREDICT_original_sf_evar_avg_2.5D,0.10698831611239124
PREDICT_original_tf_GLCMMS_energyd1.0A1.57std,0.09562272765504432
PREDICT_original_sf_area_avg_2.5D,0.09550525659944054
PREDICT_original_tf_Gabor_quartile_range_F0.05_A0.0,0.09287935888566912
"PREDICT_original_vf_Frangi_inner_energy_SR(1.0, 10.0)_SS2.0",0.08677692805813253
"PREDICT_original_vf_Frangi_inner_entropy_SR(1.0, 10.0)_SS2.0",0.0854714724488086
PREDICT_original_sf_compactness_avg_2.5D,0.08537040187223655
PREDICT_original_hf_min,0.08485257142229918
PREDICT_original_tf_Gabor_mean_F0.2_A0.79,0.08305723531788378
PREDICT_original_tf_GLCMMS_ASMd1.0A1.57std,0.08262782226168364
PREDICT_original_tf_GLCMMS_energyd1.0A2.36mean,0.08217970137495034
PREDICT_original_tf_GLCMMS_energyd3.0A0.79std,0.08067967498366158
"PREDICT_original_vf_Frangi_full_kurtosis_SR(1.0, 10.0)_SS2.0",0.0785175040138617
"PREDICT_original_vf_Frangi_edge_kurtosis_SR(1.0, 10.0)_SS2.0",0.0785175040138617
"PREDICT_original_vf_Frangi_inner_peak_position_SR(1.0, 10.0)_SS2.0",0.07804515782140675
PREDICT_original_logf_energy_sigma1,0.07786805533452168
PREDICT_original_tf_GLCMMS_correlationd1.0A0.0std,0.0777688112814734
PREDICT_original_tf_GLCMMS_energyd1.0A1.57mean,0.07304726035451314
PREDICT_original_logf_energy_sigma10,0.0726249062734381
PREDICT_original_tf_GLCMMS_ASMd3.0A1.57mean,0.07191828348801099
PREDICT_original_tf_GLCMMS_contrastd3.0A0.79mean,0.06988690604902459
PREDICT_original_tf_Gabor_energy_F0.2_A0.79,0.06927841240353105
PREDICT_original_tf_GLCMMS_correlationd3.0A0.79mean,0.06906062635046228
PREDICT_original_tf_GLCMMS_dissimilarityd3.0A1.57mean,0.06899424496614603
PREDICT_original_hf_peak_position,0.06837465639898754
PREDICT_original_tf_Gabor_quartile_range_F0.2_A0.0,0.06676506563098861
PREDICT_original_tf_LBP_kurtosis_R8_P24,0.06624019044578744
PREDICT_original_tf_Gabor_skewness_F0.05_A0.0,0.06623150348057871
PREDICT_original_tf_Gabor_peak_F0.05_A2.36,0.0654834316592634
"PREDICT_original_vf_Frangi_inner_peak_SR(1.0, 10.0)_SS2.0",0.06515807509736771
PREDICT_original_tf_Gabor_energy_F0.2_A1.57,0.06508511428755637
PREDICT_original_tf_Gabor_max_F0.05_A0.79,0.0646694785489883
PREDICT_original_tf_GLCMMS_correlationd3.0A0.79std,0.06381044042172768
PREDICT_original_sf_solidity_std_2.5D,0.06375019951892913
PREDICT_original_tf_LBP_entropy_R15_P36,0.062067596735150055
PREDICT_original_tf_LBP_energy_R8_P24,0.061782917646123314
PREDICT_original_tf_Gabor_energy_F0.2_A2.36,0.061709382080344266
PREDICT_original_tf_Gabor_entropy_F0.05_A1.57,0.061208394602012994
PREDICT_original_tf_Gabor_entropy_F0.05_A0.79,0.060936819150610555
PREDICT_original_tf_Gabor_skewness_F0.5_A2.36,0.06073214173121677
PREDICT_original_tf_Gabor_skewness_F0.05_A1.57,0.06002193708079484
PREDICT_original_logf_min_sigma5,0.059366182661495515
PREDICT_original_tf_Gabor_range_F0.05_A0.79,0.05851078217290051
PREDICT_original_logf_kurtosis_sigma10,0.057723872826209055
PREDICT_original_tf_Gabor_kurtosis_F0.05_A1.57,0.05656573145067623
PREDICT_original_tf_Gabor_energy_F0.2_A0.0,0.05585992474915136
PREDICT_original_tf_GLCMMS_contrastd1.0A1.57mean,0.05576090635885067
PREDICT_original_tf_GLCM_contrastd3.0A0.0,0.05576090635885067
PREDICT_original_tf_GLCMMS_ASMd1.0A0.0std,0.055450912676809905
"PREDICT_original_vf_Frangi_inner_min_SR(1.0, 10.0)_SS2.0",0.05501248397351577
PREDICT_original_tf_Gabor_peak_F0.5_A2.36,0.05485165224698707
PREDICT_original_tf_Gabor_range_F0.2_A1.57,0.053790613346274
PREDICT_original_tf_LBP_energy_R3_P12,0.05372593085272315
PREDICT_original_tf_Gabor_std_F0.5_A2.36,0.05359869324946276
PREDICT_original_tf_Gabor_std_F0.5_A0.79,0.05299451402076305
PREDICT_original_tf_Gabor_skewness_F0.05_A0.79,0.05295089378053164
PREDICT_original_tf_Gabor_energy_F0.5_A1.57,0.0517515390006138
